Audio,PalavraAlvo,Item,Group
BATISCARIA1.mp3,BATISCARIA,36,C
LOQUAZ1.mp3,LOQUAZ,37,C
CHECARIO1.mp3,CHECARIO,38,C
QUIMERA1.mp3,QUIMERA,39,C
GUETIACHO1.mp3,GUETIACHO,40,C
RUFIÃO1.mp3,RUFIÃO,41,C
PITEDA1.mp3,PITEDA,42,C
TREBODA1.mp3,TREBODA,43,C
ZARAGATOA1.mp3,ZARAGATOA,44,C
BELICOSO1.mp3,BELICOSO,45,C
